cordic: m = 1	op = 1 vectoring (y->0)
Circular mode vectoring
--------------------------------------------------------
i	x (hex)		y (hex)		z (hex)		delta (hex)	mu
--------------------------------------------------------------------------------
 0	0000		4000		0000		8000		-1
 1	4000		4000		3244		4000		-1
 2	6000		2000		4FF0		2000		-1
 3	6800		0800		5F9E		1000		-1
 4	6900		FB00		6794		0800		+1
 5	6950		0190		6395		0400		-1
 6	695C		FE46		6595		0200		+1
 7	6963		FFEB		6495		0100		+1
 8	6964		00BE		6415		0080		-1
 9	6964		0054		6455		0040		-1
10	6964		0020		6475		0020		-1
11	6965		0005		6485		0010		-1
12	6965		FFF8		648D		0008		+1
13	6965		FFFF		6489		0004		+1
14	6965		0002		6487		0002		-1
15	6965		0000		6488		0001		-1
	6965		0000		6488
